time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-01T21:23:47.177Z,31.68425514,-104.421101,6.131567383,3.3,ml,35,58,0.00569483,0.2,tx,tx2023abqj,2023-03-11T22:51:30.040Z,"54 km S of Whites City, New Mexico",earthquake,0.681834796,0.46189445,0.2,26,reviewed,tx,tx
2023-01-01T21:24:15.849Z,29.7295,70.1934,10,4.3,mb,33,138,4.706,0.68,us,us7000j1h6,2023-03-11T22:51:30.040Z,"25 km NW of Dajal, Pakistan",earthquake,9.06,1.935,0.153,12,reviewed,us,us
2023-01-01T21:32:44.421Z,-21.3126,-67.2105,201.911,4.4,mb,47,40,1.862,0.69,us,us7000j1h7,2023-03-11T22:51:30.040Z,"Potosi, Bolivia",earthquake,7.61,6.994,0.127,18,reviewed,us,us
2023-01-01T21:55:08.183Z,31.3366,140.9507,56.524,4.5,mb,55,98,2.018,0.78,us,us7000j1hc,2023-03-11T22:51:30.040Z,,earthquake,8.27,4.793,0.108,25,reviewed,us,us
2023-01-01T21:59:00.724Z,38.0399,72.3573,117.822,4,mb,26,126,1.5,0.86,us,us7000j1hb,2023-03-11T22:51:30.040Z,Tajikistan,earthquake,6.87,9.868,0.196,7,reviewed,us,us
2023-01-01T22:17:10.290Z,52.1243,-170.3677,35,2.9,ml,8,223,0.772,0.97,us,us7000j5ce,2023-03-11T22:51:52.040Z,"136 km SW of Nikolski, Alaska",earthquake,4.29,2.003,0.128,8,reviewed,us,us
2023-01-01T22:19:27.780Z,-19.0542,-177.6062,496.363,4.4,mb,78,41,3.087,0.56,us,us7000j1hf,2023-03-11T22:51:30.040Z,Fiji region,earthquake,6.46,6.435,0.087,38,reviewed,us,us
2023-01-01T22:31:16.570Z,18.3643,-68.3946,78,3.81,md,22,242,0.1502,0.03,pr,pr2023001003,2023-03-11T22:51:31.040Z,"22 km E of Boca de Yuma, Dominican Republic",earthquake,2.79,1.02,0.19,16,reviewed,pr,pr
2023-01-01T23:01:29.036Z,-4.5724,151.7111,151.332,4.4,mb,21,72,0.589,0.67,us,us7000j3y8,2023-03-11T22:51:46.040Z,"64 km SW of Rabaul, Papua New Guinea",earthquake,12.16,6.633,0.155,12,reviewed,us,us
2023-01-01T23:10:09.024Z,-6.1642,130.3662,110.639,4,mb,14,141,2.03,0.39,us,us7000j3y7,2023-03-11T22:51:46.040Z,"270 km WSW of Tual, Indonesia",earthquake,12.08,13.331,0.196,7,reviewed,us,us
2023-01-01T23:27:38.422Z,37.051,135.2387,369.061,4.3,mb,108,47,2.231,0.73,us,us7000j1hk,2023-03-11T22:51:31.040Z,Sea of Japan,earthquake,8.31,6.355,0.065,67,reviewed,us,us
2023-01-01T23:56:53.930Z,19.3601,-65.7256,34,3.62,md,14,270,1.1104,0.44,pr,pr2023001004,2023-01-02T00:32:06.212Z,"103 km N of Suárez, Puerto Rico",earthquake,3.64,25.85,0.08,4,reviewed,pr,pr
